City_name,Country,Date,Cloudiness,Lat,Lng,Humidity,Max_Temp,Wind
Batagay-Alyta,RU,1579330531,0,67.8,130.41,78,-26.75,4.79
Mitsamiouli,KM,1579330531,40,-11.38,43.28,79,84.2,13.87
Albany,US,1579330375,1,42.6,-73.97,65,12.0,5.82
Mar del Plata,AR,1579330240,0,-38.0,-57.56,64,62.01,8.01
New Norfolk,AU,1579330532,20,-42.78,147.06,45,63.0,17.22
Punta Arenas,CL,1579330532,75,-53.15,-70.92,76,50.0,18.34
Vardo,NO,1579330532,0,70.37,31.11,61,19.63,6.51
Atuona,PF,1579330533,100,-9.8,-139.03,73,81.9,17.4
Pevek,RU,1579330533,100,69.7,170.31,96,-14.19,3.83
Rikitea,PF,1579330533,0,-23.12,-134.97,81,78.24,17.63
Casa Branca,BR,1579330533,83,-21.77,-47.09,93,64.74,3.67
Puerto Colombia,CO,1579330533,24,10.99,-74.95,39,78.8,13.87
Pirapemas,BR,1579330534,99,-3.73,-44.22,97,72.95,1.72
Jamestown,US,1579330244,75,42.1,-79.24,78,23.0,4.7
Auki,SB,1579330534,90,-8.77,160.7,74,84.15,16.13
Cape Town,ZA,1579330433,20,-33.93,18.42,53,75.0,20.8
Provideniya,RU,1579330534,47,64.38,-173.3,94,2.12,7.45
Bluff,NZ,1579330535,100,-46.6,168.33,55,66.61,6.22
Hilo,US,1579330535,75,19.73,-155.09,69,75.2,10.29
Gloversville,US,1579330535,1,43.05,-74.34,65,10.4,5.82
Ushuaia,AR,1579330535,90,-54.8,-68.3,100,44.6,13.87
Hithadhoo,MV,1579330536,90,-0.6,73.08,76,82.99,14.61
Bredasdorp,ZA,1579330536,100,-34.53,20.04,68,66.99,14.99
Hobart,AU,1579330449,20,-42.88,147.33,45,63.0,17.22
Bodmin,GB,1579330465,33,50.47,-4.72,86,37.4,6.93
Almenara,BR,1579330537,38,-16.18,-40.69,93,70.09,0.2
Kapaa,US,1579330537,90,22.08,-159.32,68,71.6,21.92
Nardaran,AZ,1579330537,75,40.56,50.01,75,42.8,29.97
Faanui,PF,1579330537,83,-16.48,-151.75,78,82.04,19.51
Manbij,SY,1579330538,75,36.53,37.95,85,41.0,8.93
Bikapur,IN,1579330538,1,26.6,82.13,65,68.9,0.89
Poum,NC,1579330538,0,-20.23,164.02,78,79.56,17.54
Sapa,PH,1579330538,1,5.15,120.32,72,83.37,5.61
Hasaki,JP,1579330538,75,35.73,140.83,86,39.2,17.22
Nome,US,1579330539,1,64.5,-165.41,55,6.8,8.05
Xiongyue,CN,1579330539,30,40.18,122.12,40,32.18,6.2
Bethel,US,1579330539,1,41.37,-73.41,40,19.99,9.17
Tuktoyaktuk,CA,1579330539,5,69.45,-133.04,84,-2.2,17.22
Butaritari,KI,1579330539,100,3.07,172.79,78,84.45,13.33
Snaase,NO,1579330540,100,64.25,12.38,98,27.5,5.28
Baruun-Urt,MN,1579330540,97,46.68,113.28,92,3.72,7.92
Mataura,NZ,1579330540,100,-46.19,168.86,65,69.6,8.7
Calvinia,ZA,1579330540,46,-31.47,19.78,56,73.4,6.93
Benguela,AO,1579330540,88,-12.58,13.41,74,78.87,1.19
Biak,ID,1579330541,100,-0.91,122.88,79,83.77,12.06
Padang,ID,1579330300,72,-0.95,100.35,63,84.38,0.96
Zhezkazgan,KZ,1579330541,90,47.8,67.71,100,21.2,8.95
San Policarpo,PH,1579330541,2,12.18,125.51,80,81.9,7.02
Hatillo,PR,1579330542,40,18.49,-66.83,86,73.0,3.36
Qaanaaq,GL,1579330542,0,77.48,-69.36,62,-16.22,8.5
Leshukonskoye,RU,1579330542,14,64.9,45.76,95,3.67,1.3
Arraial do Cabo,BR,1579330542,98,-22.97,-42.03,76,74.91,16.17
Longyearbyen,SJ,1579330523,90,78.22,15.64,84,8.6,8.05
Hermanus,ZA,1579330543,99,-34.42,19.23,74,69.01,7.0
Chui,UY,1579330543,0,-33.7,-53.46,69,59.77,4.63
Mehamn,NO,1579330543,0,71.04,27.85,75,12.78,9.8
Barrow,US,1579330544,1,71.29,-156.79,70,1.4,4.7
Hualmay,PE,1579330544,60,-11.1,-77.61,89,66.54,3.22
Marawi,PH,1579330544,0,8.0,124.29,76,82.99,5.99
Port Alfred,ZA,1579330535,100,-33.59,26.89,98,68.0,15.32
San Jeronimo,PE,1579330545,49,-11.95,-75.28,90,36.9,2.1
Gogrial,SS,1579330545,56,8.53,28.1,22,73.04,11.3
Konstanz,DE,1579330545,100,47.66,9.18,93,39.99,3.36
Vila Franca do Campo,PT,1579330545,40,37.72,-25.43,93,62.6,5.82
Hobyo,SO,1579330545,42,5.35,48.53,55,80.47,22.37
Fortuna,US,1579330546,1,40.6,-124.16,89,50.0,12.75
Tansen,NP,1579330546,1,27.87,83.55,50,61.09,4.32
Busselton,AU,1579330546,0,-33.65,115.33,19,82.99,10.71
Saint George,US,1579330547,1,37.1,-113.58,68,37.0,4.7
Grindavik,IS,1579330547,75,63.84,-22.43,74,30.2,2.24
Saint-Philippe,RE,1579330547,100,-21.36,55.77,62,87.8,6.93
Broome,US,1579330547,1,42.25,-75.83,100,12.99,1.81
